TSLF,FireYear,Assessment_Year,ObsArea_Whole,ObsArea_Subset,Check_ObsPercent_Whole,Check_ObsPercent_Subset,Check_Exp_MINInterval,Check_Exp_MAXInterval,,
Unknown,Unknown,2020,114.8618863,1.201264064,63.36994229,6.647146813,0.000286624,0.79905075,,
1,2014,2015,0.705076843,5.01002E-05,0.38899482,0.000296935,16.66666667,6.666666667,,
2,2013,2015,2.138504223,0.45302647,1.179824688,2.685007807,13.88888889,6.222222222,,
3,2012,2015,0.237672024,1.416689975,0.131124979,8.396471063,11.57407407,5.807407407,,
4,2011,2015,2.151919471,1.442686169,1.187225955,8.55054591,9.645061728,5.420246914,,
5,2010,2015,2.548861338,0.588328748,1.406220994,3.486920493,8.03755144,5.058897119,,
6,2009,2015,0.04464619,0.616885368,0.024631551,3.656170535,6.697959534,4.721637311,,
7,2008,2015,0,0,0,0,5.581632945,4.406861491,,
8,2007,2015,0.011586487,1.753158056,0.00639233,10.3906579,4.651360787,4.113070725,,
9,2006,2015,1.560585422,0.116849647,0.860983667,0.692547201,3.876133989,3.83886601,,
10,2005,2015,0.517188237,1.712680735,0.28533563,10.15075598,3.230111658,3.582941609,,
11,2004,2015,3.869987559,1.40870408,2.135093686,8.349140078,2.691759715,3.344078835,,
12,2003,2015,0.842589762,0.042642732,0.464861463,0.252735934,2.243133096,3.121140246,,
13,2002,2015,3.091140916,0,1.705399657,0,1.86927758,2.91306423,,
14,2001,2015,33.50700761,0,18.48600268,0,1.557731316,2.718859948,,
15,2000,2015,0.064462996,0.494322188,0.035564594,2.929760232,1.29810943,2.537602618,,
16,1999,2015,0.305023047,0.00214092,0.168282913,0.012688854,1.081757859,2.36842911,,
17,1998,2015,0.503960983,2.04654E-05,0.278038081,0.000121295,0.901464882,2.210533836,,
18,1997,2015,1.212765476,0.425153717,0.669089467,2.519810931,0.751220735,2.063164914,,
19,1996,2015,0.33783308,5.339800685,0.186384392,31.64805478,0.626017279,1.925620586,,
20,1995,2015,0.042289024,0,0.02333109,0,0.521681066,1.79724588,,
21,1994,2015,0.585014983,0,0.322756024,0,0.434734222,1.677429488,,
22,1993,2015,0.125526383,0.147336342,0.069253605,0.873236456,0.362278518,1.565600856,,
23,1992,2015,9.71428E-09,0.713521854,5.35942E-09,4.228917905,0.301898765,1.461227465,,
24,1991,2015,0.884672172,0.003913751,0.488078564,0.023196113,0.251582304,1.363812301,,
25,1990,2015,0.089166168,0,0.049193472,0,0.20965192,1.272891481,,
26,1989,2015,0.197393858,0.123046892,0.108903291,0.72927718,0.174709934,1.188032049,,
27,1988,2015,0.424863009,0.009441049,0.234399288,0.055955427,0.145591611,1.108829912,,
28,1987,2015,0,0,0,0,0.121326343,1.034907918,,
29,1986,2015,0.422999926,0,0.233371415,0,0.101105286,0.965914057,,
30,1985,2015,4.793832342,0,2.644783998,0,0.084254405,0.901519786,,
31,1984,2015,1.707685048,8.33591E-06,0.94213935,4.94055E-05,0.070212004,0.841418467,,
