"","Assessment_Year","LastFire","ObsArea_Whole","ObsArea_Subset"
"160",2000,1984,2.866977694,0.347458936
"161",2000,1983,0.005876997,0
"162",2000,1982,0.608109101,0.181018529
"163",2000,1980,0.596752277,0.188523417
"164",2000,1979,0.299911609,0.146461537
"165",2000,1978,0.087237175,0.065379401
"166",2000,1977,2.463998108,0.029091925
"167",2000,1974,0.271255911,0
"168",2000,1971,0.044831623,0
"169",2000,1968,1.49159654,0
"170",2000,1964,0.017675495,0
"171",2000,0,137.6459379,3.984442937
